id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
904242880276384879,Rental unit in Las Condes · ★4.50 · Studio · 1 bed · 1 bath,317472101,Andes STR,,Las Condes,-33.40595710000001,-70.558469,Entire home/apt,43239,2,18,2023-12-04,2.71,120,365,18,
904316113028097361,Rental unit in Santiago · 1 bedroom · 1 bed · 1 bath,498759181,Marcelo,,Santiago,-33.43469,-70.64763,Entire home/apt,580000,1,0,,,2,365,0,
904346496456411776,Rental unit in Las Condes · ★4.67 · 2 bedrooms · 2 beds · 2 baths,456656876,Aqc,,Las Condes,-33.4076756,-70.5748101,Entire home/apt,59000,3,6,2023-12-11,1.04,29,347,6,
902347325046897668,Rental unit in Providencia · 1 bedroom · 1 bed · 1 private bath,8941991,Constanza,,Providencia,-33.43560833348319,-70.60725281132999,Private room,30000,4,0,,,1,362,0,
902359225295347704,Rental unit in Santiago · 3 bedrooms · 3 beds · 2 baths,517114449,Auristela,,Santiago,-33.4539569,-70.6705946,Entire home/apt,64257,3,0,,,1,364,0,
904384370346749559,Rental unit in Providencia · 2 bedrooms · 3 beds · 1.5 baths,48178068,Maria José,,Providencia,-33.43189,-70.59088,Entire home/apt,65000,1,2,2023-09-03,0.48,2,16,2,
904403127378076865,casa particular in Santiago · 1 bedroom · 2 beds · 1 bath,516477733,Edgar,,Santiago,-33.43804,-70.64749,Private room,25000,1,2,2023-08-12,0.34,4,364,2,
904420810816890693,casa particular in Santiago · 17 bedrooms · 5 beds · 8.5 shared baths,516477733,Edgar,,Santiago,-33.43769,-70.64944,Private room,39200,1,0,,,4,364,0,
902432009960930848,Condo in Ñuñoa · ★4.95 · 2 bedrooms · 3 beds · 2 baths,221999364,Liliana,,Ñuñoa,-33.4515375,-70.624886,Entire home/apt,71857,3,22,2023-12-16,3.24,1,167,22,
904426581638031857,Rental unit in Providencia · ★4.53 · 1 bedroom · 1 bed · 1 bath,32259262,Rodrigo,,Providencia,-33.42975,-70.61935,Entire home/apt,42266,5,19,2023-12-06,2.74,1,57,19,
902470097637262065,Rental unit in Santiago · 1 bedroom · 1 bed · 1 bath,484878892,Paula Andrea,,Santiago,-33.44119,-70.65645,Entire home/apt,46069,1,0,,,9,364,0,
904442359704180964,casa particular in Santiago · 1 bedroom · 3 beds · 1 bath,516477733,Edgar,,Santiago,-33.4366547,-70.6450313,Private room,38000,1,1,2023-09-03,0.26,4,365,1,
904443434347756095,Rental unit in Lo Barnechea · 1 bedroom · 1 bed · 1 bath,24011672,Maria,,Lo Barnechea,-33.35339827523136,-70.24905676475879,Entire home/apt,180000,2,0,,,20,364,0,
904446462988761671,Home in Santiago · 2 bedrooms · 2 beds · 2 baths,171683030,Nieves,,Peñalolén,-33.48357,-70.53096599999999,Private room,17898,1,0,,,1,350,0,
904553705200668920,Condo in Ñuñoa · ★4.89 · 2 bedrooms · 3 beds · 2 baths,68107236,Natalia,,Ñuñoa,-33.4521826660651,-70.62532981113344,Entire home/apt,92857,3,18,2023-12-18,3.97,1,47,18,
904607256251967464,Vacation home in Lo Barnechea · ★5.0 · 3 bedrooms · 6 beds · 2 baths,437204953,Javier,,Lo Barnechea,-33.353937711584436,-70.24963757737633,Entire home/apt,390000,5,3,2023-09-09,0.70,1,355,3,
902765448052305317,Hostel in Santiago · 1 bedroom · 1 bed · 1 shared bath,516713909,Hostel Cienfuegos,,Santiago,-33.4427274,-70.66329019999999,Private room,35828,1,2,2023-11-12,0.39,5,365,2,
907876941923887002,Rental unit in Las Condes · ★4.68 · 1 bedroom · 1 bed · 1 bath,180927952,Diana,,Las Condes,-33.41176,-70.57253,Entire home/apt,42000,1,38,2023-12-11,6.63,7,362,38,
907905234760767506,Condo in San Joaquín · ★5.0 · 1 bedroom · 1 bed · 1 bath,233334744,Loreto,,San Joaquín,-33.489862149556146,-70.61855848878622,Entire home/apt,45350,1,16,2023-12-01,3.33,1,211,16,
904689572462178440,Rental unit in Vitacura · 2 bedrooms · 3 beds · 2 baths,166839533,George,,Las Condes,-33.39815,-70.57178,Entire home/apt,90000,2,1,2023-10-23,0.45,23,365,1,
904970908661154395,Rental unit in Providencia · ★4.95 · 1 bedroom · 1 bed · 1 bath,398652587,Liliana,,Providencia,-33.42392,-70.61076,Entire home/apt,50000,1,19,2023-12-06,2.84,11,349,19,
904972174153030873,Rental unit in Santiago · ★4.60 · 1 bedroom · 1 bed · 1 bath,163429972,Mabel,,Santiago,-33.4325753,-70.6796123,Private room,29900,2,5,2023-10-16,0.79,1,0,5,
904999140867168920,Rental unit in Las Condes · ★4.75 · 1 bedroom · 1 bed · 1 bath,456656876,Aqc,,Las Condes,-33.4108402,-70.5764124,Entire home/apt,45000,3,4,2023-12-12,1.09,29,353,4,
905058265936912789,Rental unit in Las Condes · ★4.22 · 3 bedrooms · 6 beds · 2 baths,517541101,María Emilia,,Las Condes,-33.41764,-70.59459,Entire home/apt,71429,4,18,2023-11-30,2.84,1,361,18,
907915818893219950,Rental unit in Providencia · 1 bedroom · 1 bed · 1 bath,265836440,Alejandro,,Providencia,-33.42551,-70.60792,Entire home/apt,200000,2,1,2023-06-22,0.16,1,365,1,
905138623581888152,Rental unit in Vitacura · ★4.94 · 3 bedrooms · 5 beds · 2 baths,141320759,Cristina,,Vitacura,-33.3875503,-70.54614939999999,Entire home/apt,150000,2,16,2023-12-11,2.89,1,73,16,
907944151857471648,Home in Vitacura · 2 bedrooms · 3 beds · 1.5 baths,461957747,Natalia,,Vitacura,-33.388237758287254,-70.56011072632393,Private room,120000,1,0,,,1,364,0,
907955621100245945,Rental unit in Vitacura · 2 bedrooms · 4 beds · 2 baths,166839533,George,,Las Condes,-33.3993055,-70.5729267,Entire home/apt,101429,2,2,2023-10-01,0.40,23,347,2,
905164165351554882,Rental unit in Vitacura · ★4.67 · 2 bedrooms · 3 beds · 2 baths,176754999,Redibuk,,Las Condes,-33.39898,-70.57353,Entire home/apt,105016,3,3,2023-09-28,0.61,4,330,3,
908028573027124014,Camper/RV in Santiago · 1 bedroom · 1 bed · 1 bath,471164640,Claudia,,Pudahuel,-33.38956,-70.80401,Entire home/apt,48000,25,0,,,1,173,0,
905167785652528164,Rental unit in Santiago · ★4.93 · 1 bedroom · 1 bed · 1 bath,513689272,Mauricio,,Santiago,-33.44426,-70.63898,Entire home/apt,31000,1,29,2023-12-19,4.33,1,9,29,
908028884322271100,Rental unit in Santiago · ★4.75 · 1 bedroom · 1 bed · 1 bath,67394990,Veronica,,Santiago,-33.43833,-70.65601,Entire home/apt,30000,2,4,2023-08-16,0.65,2,363,4,
905205551168861291,Condo in Santiago · 2 bedrooms · 3 beds · 2 baths,110714125,Cecilia,,Santiago,-33.44293,-70.63811,Entire home/apt,40000,3,2,2023-11-05,0.82,1,78,2,
905252342328497212,Rental unit in Las Condes · ★4.50 · 1 bedroom · 2 beds · 1 bath,503584045,Marco,,Las Condes,-33.4163889,-70.6019281,Entire home/apt,47000,4,8,2023-12-11,1.41,1,305,8,
905294480723069717,Rental unit in Santiago · ★4.56 · 1 bedroom · 1 bed · 1 bath,177195612,Adriana,,Santiago,-33.44953,-70.63879,Entire home/apt,26000,2,25,2023-12-17,3.66,11,362,25,
905387072159587223,Rental unit in Providencia · ★4.27 · 3 bedrooms · 4 beds · 1.5 baths,458677853,Golfo,,Providencia,-33.42276,-70.60566,Entire home/apt,44254,1,15,2023-12-10,2.50,3,364,15,
905389031640555842,Rental unit in Santiago · 3 bedrooms · 3 beds · 2 baths,51966337,Valeria,,Santiago,-33.437257498318914,-70.6545051259777,Entire home/apt,75000,1,0,,,17,267,0,
905389455785042448,Rental unit in Santiago · 1 bedroom · 1 bed · 1 bath,51966337,Valeria,,Santiago,-33.43562,-70.65534,Entire home/apt,40000,1,0,,,17,364,0,
905722412291318995,Rental unit in Ñuñoa · 2 bedrooms · 2 beds · 2 baths,33350784,Lorena,,Ñuñoa,-33.4515375,-70.624886,Entire home/apt,60000,3,2,2023-10-28,0.83,1,329,2,
905857240732118937,Rental unit in Santiago · 1 bedroom · 1 bed · 2 baths,518067214,Anastasia,,Santiago,-33.4487329,-70.6415462,Private room,,1,0,,,1,364,0,
905989920095874481,Rental unit in Las Condes · ★3.67 · 1 bedroom · 1 bed · 1 bath,269851508,Lucila,,Las Condes,-33.41778,-70.59971,Entire home/apt,60000,29,3,2023-07-30,0.48,1,360,3,
908093032720503029,Rental unit in Providencia · ★4.71 · 2 bedrooms · 2 beds · 1 bath,518624068,Francisca,,Providencia,-33.42902889612069,-70.61914319577026,Entire home/apt,50890,2,31,2023-12-10,4.65,1,340,31,
906031342662481943,Home in Santiago · 1 bedroom · 1 bed · Half-bath,509149461,Angela,,La Cisterna,-33.529681388471666,-70.65442077581378,Private room,24466,1,0,,,1,364,0,
